id	total	white	black	Asian	other
1707003	1194	1105	0	26	63
1708001	1184	1063	0	19	67
1708002	1012	954	0	0	38
1708003	1416	1155	0	34	211
1709001	1754	1336	118	62	178
1710001	1127	861	0	136	130
1710002	1040	884	0	129	27
1710003	1005	998	0	0	0
1710004	1221	1103	0	0	112
1710005	1375	875	14	20	466
1710006	888	813	0	49	26
1711001	1541	875	0	91	493
1711002	1635	974	56	160	445
1711003	1111	905	11	22	173
1801001	1466	1221	16	0	207
1801002	594	351	0	0	188
1801003	1976	1039	23	78	836
1801004	978	721	0	45	212
1801005	1402	930	148	93	212
1901001	2650	1169	138	0	1320
1902001	1478	579	46	27	815
1902002	1804	616	10	19	924
1902003	1510	450	10	0	1041
1902004	1164	672	11	21	428
1903001	1225	891	0	9	311
1903002	1587	867	13	28	679
1903003	1795	747	7	0	1041
1903004	1051	668	0	0	383
1904011	1813	1471	0	80	251
1904012	2814	1510	192	139	973
1904021	2275	1038	34	44	989
1904022	3014	1100	155	117	1496
1906011	822	541	0	0	281
1906012	1132	255	66	26	785
1906013	2455	304	157	54	1915
1906021	1060	812	0	0	233
1906022	2080	954	152	16	927
1906023	1815	495	413	0	879
1907011	1916	587	87	0	1226
1907012	1279	644	29	0	606
1907021	1096	362	0	51	683
1907022	1908	882	70	76	880
1907023	1535	353	116	0	990
1908001	1555	397	0	0	1022
1908002	847	273	142	174	251
1908003	1377	254	72	1	936
1908004	1387	530	52	0	805
1908005	1732	504	0	36	1165
1909001	1944	738	289	8	909
1910001	1076	325	34	0	717
1910002	1460	582	33	0	845
1911001	1198	405	0	0	727
1911002	647	130	178	0	339
1911003	1786	452	0	79	1255
1911004	1535	135	306	0	1011
1911005	2144	371	181	0	1574
1911006	723	81	293	0	349
1912001	2900	450	101	0	2349
1912002	878	155	0	0	723
1913011	3053	822	396	23	1778
1913012	1713	396	264	18	924
1913013	1160	477	236	41	406
1913021	1585	572	0	0	1013
1913022	3327	1031	128	0	2168
2001001	697	437	0	10	250
2001002	1306	652	0	0	600
2001003	2100	660	0	9	1419
2002001	1078	332	16	32	682
2002002	1901	557	0	0	1328
2002003	730	137	0	0	593
2002004	1567	432	14	94	1027
2003001	1451	549	41	0	750
2003002	888	310	0	0	574
2004011	1191	639	0	0	489
2004012	2767	1198	0	0	1534
2004021	1244	359	44	0	826
2004022	1512	395	0	11	1011
2004023	1299	476	26	0	797
2101001	1541	1024	129	34	239
2101002	1861	1171	1	82	599
2101003	1007	655	140	57	81
2104001	2160	1486	42	122	502
2104002	1101	968	0	0	133
2105011	1232	719	0	118	368
2105012	3087	2135	87	33	782
2105021	2009	1483	71	4	451
2105022	1492	1238	0	0	254
2105023	1034	656	0	0	378
2106011	1111	718	0	127	248
2106012	965	717	30	11	207
2106013	1285	831	0	64	351
2106021	1300	1171	14	32	69
2106022	1186	775	13	0	348
2106023	2159	1493	174	5	487
2107001	1104	933	0	0	142
2107002	1387	917	123	90	189
2107003	1759	1362	80	31	230
2108001	1132	722	13	0	393
2109001	1941	1041	39	135	698
2109002	1106	866	31	39	45
2203001	1272	1071	30	39	111
2203002	976	829	67	7	47
2204001	1060	676	49	34	266
2204002	1385	1012	56	123	161
2205001	887	692	77	50	50
2205002	1055	920	0	0	97
2205003	761	534	98	83	0
2206011	838	569	150	0	70
2206012	680	562	12	33	37
2206021	637	505	8	124	0
2206022	378	294	72	0	0
2206023	1348	690	280	27	337
2206024	1584	1222	88	77	160
2206025	840	250	52	156	347
2207011	1172	1037	77	35	23
2207012	1355	1134	80	0	141
2207013	1183	876	131	0	176
2207021	1978	1205	24	8	562
2207022	489	322	101	0	16
2207023	529	330	89	71	39
2207024	1041	937	0	0	102
2209011	636	427	96	39	74
2209012	863	362	272	0	193
2209013	1617	1369	51	0	116
2209021	1708	1028	205	21	416
2209022	1775	1166	260	11	302
2210001	1429	888	67	27	426
2210002	1692	1283	244	19	146
2211001	2098	1659	182	34	170
2211002	1987	1198	190	0	318
2211003	913	566	185	0	162
2212001	782	493	59	0	198
2212002	1638	1036	58	21	464
2213001	1416	1094	11	50	251
2213002	957	705	53	51	122
2213003	348	252	14	0	69
2214001	1053	866	0	0	187
2214002	767	616	87	11	35
2214003	1183	892	0	55	236
2215001	1369	1183	56	72	40
2215002	1292	925	99	13	160
2216001	1480	1227	27	34	137
2216002	1398	1184	5	89	92
2222001	808	644	29	82	13
2222002	1102	883	29	164	15
2225001	1467	1247	102	0	109
2226001	1534	1021	122	110	255
2227001	1069	641	194	0	222
2227002	1450	941	167	0	334
2228001	847	508	257	0	82
2229001	1467	901	274	0	292
2301001	1523	779	266	7	471
2302001	1453	495	227	0	517
2303001	929	447	12	10	460
2304001	1822	254	125	9	1348
2304002	941	525	0	0	333
2305001	2433	821	340	0	1261
2305002	887	556	58	0	273
2306001	822	171	0	0	564
2306002	987	127	717	0	115
2306003	1186	207	96	0	883
2306004	1211	417	94	0	700
2306005	1688	75	873	0	740
2306006	1366	240	450	0	661
2307001	1317	294	184	0	839
2307002	1492	283	312	0	875
2307003	1572	545	557	0	386
2307004	1191	464	123	26	552
2308001	1169	864	31	0	272
2309001	1554	488	450	27	510
2309002	1922	657	603	17	619
2309003	1893	683	426	0	662
2311001	1164	17	897	0	233
2312001	1148	293	474	0	381
2312002	2389	82	2272	0	21
2312003	731	50	644	0	37
2312004	1209	61	1125	0	23
2312005	873	138	444	0	291
2315001	740	0	712	0	28
2315002	759	13	730	0	0
2315003	595	11	558	0	26
2315004	678	21	657	0	0
2315005	1273	64	1209	0	0
2315006	1546	0	1400	0	118
2402001	1571	1310	33	88	115
2403001	1436	1235	0	51	97
2405001	2168	1793	184	128	37
2406001	1072	791	49	76	156
2407001	1719	1339	39	77	260
2408001	913	649	140	0	124
2408002	774	533	3	63	123
2409001	896	495	92	61	236
2410001	978	306	467	0	205
2410002	1366	758	311	0	248
2411001	1684	998	248	13	417
2411002	2277	1462	296	20	432
2412001	1120	866	100	50	91
2412002	1007	581	99	110	165
2413001	1780	1351	334	61	15
2414001	1399	876	195	27	48
2414002	833	747	36	16	11
2414003	738	609	91	24	14
2414004	1583	1186	335	38	24
2415001	1490	924	35	56	405
2415002	575	525	20	20	10
2415003	732	687	0	45	0
2416001	1385	1048	10	154	138
2416002	2239	1801	161	171	77
2420001	1873	1216	177	14	438
2420002	2032	962	202	58	690
2420003	865	181	569	12	68
2421001	725	615	44	10	31
2421002	1169	865	86	29	146
2421003	1454	1092	93	58	176
2422001	2021	1631	43	113	176
2422002	1793	1488	104	24	126
2423001	1502	1280	38	44	78
2423002	1826	1658	32	34	57
2424001	1260	1144	16	0	100
2424002	1622	1539	0	35	22
2425001	2246	1519	48	137	534
2425002	1554	1263	64	64	133
2426001	1274	892	247	0	135
2426002	1338	744	156	25	268
2426003	1360	1309	51	0	0
2426004	898	538	208	13	114
2427001	2039	844	495	47	648
2428001	1701	1405	8	31	257
2429001	1407	968	25	101	266
2429002	575	515	14	0	22
2430001	868	728	40	57	0
2430002	1504	1241	0	0	263
2431001	1658	1068	36	20	514
2431002	557	394	42	0	121
2432001	1036	638	7	58	327
2432002	941	736	0	14	161
2433001	627	522	47	39	19
2433002	1434	1121	0	115	107
2434001	1374	933	78	125	218
2434002	545	306	18	30	182
2434003	961	800	5	34	122
2435001	1178	598	484	59	0
2435002	2021	1656	68	152	116
2502001	1871	84	1100	26	609
2502002	970	96	697	0	177
2503001	700	27	642	11	20
2503002	1335	157	1111	0	67
2503003	1490	10	1416	0	64
2503004	1129	0	619	0	510
2504001	483	0	483	0	0
2504002	871	0	650	0	221
2504003	2239	0	2067	0	172
2504004	1400	237	1163	0	0
2504005	1270	23	1060	0	187
2505001	780	440	240	12	51
2505002	1798	601	1148	49	0
2505003	724	563	60	13	75
2505004	1067	710	180	12	150
2505005	708	532	152	0	24
2505006	704	639	13	0	52
2505007	1590	604	371	9	529
2506001	1210	0	1164	0	22
2506002	1325	4	1142	0	179
2506003	1029	86	920	0	15
2506004	1427	85	1266	0	0
2507001	1377	29	1320	0	28
2507002	832	0	832	0	0
2507003	1208	0	1208	0	0
2507004	1234	0	1216	18	0
2507005	1576	0	1576	0	0
2508001	1266	27	1239	0	0
2508002	1069	117	816	0	132
2510001	1355	162	1193	0	0
2511001	964	39	925	0	0
2511002	1383	23	1262	0	0
2511003	1243	181	877	0	123
2511004	1292	14	1222	0	0
2512001	672	0	672	0	0
2512002	653	5	624	0	0
2512003	763	207	556	0	0
